,title,,,,
"isTP1W0mpnM","Star Citizen Soundtrack - Orison Theme (Pedro Camacho)","ZykaDeter","2022-08-07","2021-06-25","https://i.ytimg.com/vi/isTP1W0mpnM/hqdefault.jpg"
"7Y7JziBUOMA","Hollow Knight OST - The White Lady (Full Version)","Lazulf","2022-08-07","2019-09-02","https://i.ytimg.com/vi/7Y7JziBUOMA/hqdefault.jpg"
"faChDQaewjA","Subnautica Soundtrack - 7: Sun & Moon","Subnautica","2022-08-07","2018-02-12","https://i.ytimg.com/vi/faChDQaewjA/hqdefault.jpg"
"XdnEZkr0uFM","The Talos Principle - Soundtrack :: 06 Made Of Words","GameOST","2022-08-07","2015-07-04","https://i.ytimg.com/vi/XdnEZkr0uFM/hqdefault.jpg"
"2TXQJtbqECA","The Talos Principle OST   02   When In Rome","Damjan Mravunac","2022-08-07","2014-12-12","https://i.ytimg.com/vi/2TXQJtbqECA/hqdefault.jpg"
"mYZG9zzdYdY","Adam Skorupa - Shaent Blathanna","xriv8x","2022-08-07","2010-12-22","https://i.ytimg.com/vi/mYZG9zzdYdY/hqdefault.jpg"
"PAb74twuW58","The Talos Principle - Soundtrack :: 03 Trials","GameOST","2022-08-07","2015-07-04","https://i.ytimg.com/vi/PAb74twuW58/hqdefault.jpg"
"9SdO_5EGjbQ","The Talos Principle - Soundtrack :: 04 The Sigils Of Our Name","GameOST","2022-08-07","2015-07-04","https://i.ytimg.com/vi/9SdO_5EGjbQ/hqdefault.jpg"
"pqWnAbCBZWk","The Talos Principle - Soundtrack :: 05 Temple Of My Father","GameOST","2022-08-07","2015-07-04","https://i.ytimg.com/vi/pqWnAbCBZWk/hqdefault.jpg"
"oMQfdS3ERZc","Zeref's Melancholy Ost   Extended","Manga OST/Animé","2022-08-26","2013-11-25","https://i.ytimg.com/vi/oMQfdS3ERZc/hqdefault.jpg"
"7bq52v9gvPA","Schala's Theme","Malcolm Robinson - Topic","2022-08-26","2019-01-07","https://i.ytimg.com/vi/7bq52v9gvPA/hqdefault.jpg"
"lUTA1q3qtHA","The Talos Principle OST 27 A Worlds Apart","Damjan Mravunac","2022-09-08","2015-12-16","https://i.ytimg.com/vi/lUTA1q3qtHA/hqdefault.jpg"
"ZecUMWTdrO8","Borislav Slavov | Rivellon | Divinity: Original Sin 2","Black Screen Records","2024-06-23","2020-09-15","https://i.ytimg.com/vi/ZecUMWTdrO8/hqdefault.jpg"
"iPt2ur-K6co","Borislav Slavov | Amber Ale | Divinity: Original Sin 2","Black Screen Records","2024-06-23","2020-09-18","https://i.ytimg.com/vi/iPt2ur-K6co/hqdefault.jpg"
"NknjE2SBPxw","The Witcher 3: Wild Hunt OST - The Fields of Ard Skellig (Extended)","Savathor","2024-06-23","2015-06-11","https://i.ytimg.com/vi/NknjE2SBPxw/hqdefault.jpg"
